"","start","end"
"1",5013481,5015481
"2",276657,278657
"3",2160790,2162790
"4",12701959,12703959
"5",25957763,25959763
"6",21624212,21626212
"7",8477917,8479917
"8",2977726,2979726
"9",6820040,6822040
"10",11858088,11860088
"11",11141450,11143450
"12",14048065,14050065
"13",3546562,3548562
"14",26390912,26392912
"15",384946,386946
"16",15858973,15860973
"17",26133663,26135663
"18",14549168,14551168
"19",2164508,2166508
"20",13078,15078
"21",24196759,24198759
"22",12425842,12427842
"23",11568357,11570357
"24",13470258,13472258
"25",27402461,27404461
"26",16231950,16233950
"27",25177327,25179327
"28",24071795,24073795
"29",24408732,24410732
"30",25188597,25190597
"31",2933527,2935527
"32",15540477,15542477
"33",11674893,11676893
"34",18917619,18919619
"35",11227495,11229495
"36",1865662,1867662
"37",27566195,27568195
"38",13135262,13137262
"39",16262465,16264465
"40",4679909,4681909
"41",19876904,19878904
"42",14481784,14483784
"43",15736573,15738573
"44",1525117,1527117
"45",27397211,27399211
"46",11528448,11530448
"47",18408328,18410328
"48",7251723,7253723
"49",15697667,15699667
"50",22312305,22314305
"51",3797182,3799182
"52",9689214,9691214
"53",10883946,10885946
"54",3050428,3052428
"55",25018817,25020817
"56",20955649,20957649
"57",21643871,21645871
"58",21053132,21055132
"59",7018675,7020675
"60",5222280,5224280
"61",1139530,1141530
"62",14007552,14009552
"63",27719778,27721778
"64",22222614,22224614
"65",25162382,25164382
"66",11262689,11264689
"67",20930542,20932542
"68",27272577,27274577
"69",10372942,10374942
"70",10448738,10450738
"71",2439079,2441079
"72",1589827,1591827
"73",6857817,6859817
"74",4073435,4075435
"75",2613629,2615629
"76",13521761,13523761
"77",1650594,1652594
"78",1480394,1482394
"79",20501477,20503477
"80",19391130,19393130
"81",25961087,25963087
"82",8087712,8089712
"83",19852630,19854630
"84",15979251,15981251
"85",19613058,19615058
"86",12523113,12525113
"87",11690575,11692575
"88",14773610,14775610
"89",12838146,12840146
"90",1103662,1105662
"91",19994303,19996303
"92",3754749,3756749
"93",580069,582069
"94",18341385,18343385
"95",22617514,22619514
"96",5038946,5040946
"97",20473743,20475743
"98",25202396,25204396
"99",6998234,7000234
"100",1790172,1792172
"101",22719168,22721168
"102",16393644,16395644
"103",10675516,10677516
"104",3356722,3358722
"105",7496173,7498173
"106",20278598,20280598
"107",1297479,1299479
"108",11344486,11346486
"109",19208563,19210563
"110",6743382,6745382
"111",25602677,25604677
"112",19464039,19466039
"113",10899201,10901201
"114",16160617,16162617
"115",25828129,25830129
"116",19714276,19716276
"117",4559477,4561477
"118",9581618,9583618
"119",21405014,21407014
"120",8395049,8397049
"121",26613674,26615674
"122",20451092,20453092
"123",881995,883995
"124",11787709,11789709
"125",13403837,13405837
"126",18024049,18026049
"127",4671673,4673673
"128",8881655,8883655
"129",2562231,2564231
"130",9038009,9040009
"131",7404603,7406603
"132",18179075,18181075
"133",18306120,18308120
"134",10271625,10273625
"135",26321761,26323761
"136",774471,776471
"137",21125826,21127826
"138",19619274,19621274
"139",16897527,16899527
"140",10397179,10399179
"141",8962528,8964528
"142",10773551,10775551
"143",5399402,5401402
"144",20216276,20218276
"145",8368358,8370358
"146",25675899,25677899
"147",2181503,2183503
"148",19984092,19986092
"149",10666326,10668326
"150",14889792,14891792
"151",27394641,27396641
"152",47773,49773
"153",25564789,25566789
"154",13265764,13267764
"155",7661648,7663648
"156",11269479,11271479
"157",18849683,18851683
"158",16563289,16565289
"159",10361297,10363297
"160",3490815,3492815
"161",22847980,22849980
"162",12232171,12234171
"163",10041649,10043649
